fitness = -25.04993, error = 0.02920734
fitness = -21.82994, error = 0.03073292
fitness = -21.64547, error = 0.02722263
fitness = -22.05187, error = 0.02247
fitness = -21.37112, error = 0.02975933
fitness = -22.8971, error = 0.02628879
fitness = -21.57017, error = 0.02259158
fitness = -20.63329, error = 0.01865038
fitness = -19.75696, error = 0.02100024
fitness = -17.49813, error = 0.02760816
fitness = -20.30037, error = 0.01605085
fitness = -23.04652, error = 0.02562345
fitness = -23.56873, error = 0.0169528
fitness = -25.00152, error = 0.05199035
fitness = -23.45807, error = 0.01951566
fitness = -20.03785, error = 0.008921979
fitness = -20.98711, error = 0.01300919
fitness = -17.75009, error = 0.01550718
fitness = -20.64115, error = 0.01193795
fitness = -20.54253, error = 0.01881375
fitness = -21.79858, error = 0.02192452
fitness = -24.43545, error = 0.01756503
fitness = -21.32396, error = 0.01356202
fitness = -20.1678, error = 0.00867764
fitness = -20.35288, error = 0.009298242
fitness = -20.08136, error = 0.009728171
fitness = -21.08359, error = 0.008339201
fitness = -19.58189, error = 0.009300561
fitness = -16.09002, error = 0.01512002
fitness = -22.90837, error = 0.009703005
fitness = -19.8221, error = 0.01025544
fitness = -21.02409, error = 0.01303943
fitness = -23.62143, error = 0.01576942
fitness = -21.90557, error = 0.008804007
fitness = -24.84356, error = 0.01141968
fitness = -22.70189, error = 0.01480654
fitness = -25.16518, error = 0.009483569
fitness = -20.55008, error = 0.009659143
fitness = -22.59203, error = 0.008756003
fitness = -20.12172, error = 0.02086029
fitness = -22.07222, error = 0.01006299
fitness = -22.40967, error = 0.01366488
fitness = -25.51181, error = 0.007787426
fitness = -23.20005, error = 0.007020928
fitness = -24.55128, error = 0.04129523
fitness = -23.23581, error = 0.01498637
fitness = -20.20366, error = 0.008718758
fitness = -24.04643, error = 0.04137148
fitness = -21.31157, error = 0.01383975
fitness = -22.22958, error = 0.009961186
fitness = -21.6861, error = 0.005124073
fitness = -24.04033, error = 0.04023714
fitness = -22.08332, error = 0.008944358
fitness = -23.02381, error = 0.004676833
fitness = -23.75513, error = 0.04015284
fitness = -26.94983, error = 0.008040944
fitness = -25.87751, error = 0.009001721
fitness = -20.64419, error = 0.006439618
fitness = -24.17854, error = 0.01624291
fitness = -21.33507, error = 0.006063908
fitness = -24.48334, error = 0.006382214
fitness = -20.07356, error = 0.006628324
fitness = -24.90549, error = 0.004702325
fitness = -23.85229, error = 0.006999321
fitness = -16.44358, error = 0.006768625
fitness = -23.80461, error = 0.00599508
fitness = -20.02009, error = 0.01072636
fitness = -21.83526, error = 0.008151882
fitness = -21.53837, error = 0.006105308
fitness = -20.18696, error = 0.007228943
fitness = -21.73028, error = 0.005828463
fitness = -22.41986, error = 0.006376201
fitness = -22.32915, error = 0.005466837
fitness = -19.99751, error = 0.006381949
fitness = -21.85884, error = 0.005911322
fitness = -19.592, error = 0.006211739
fitness = -20.98352, error = 0.07791086
fitness = -22.93367, error = 0.007831948
fitness = -19.63809, error = 0.006349104
fitness = -20.87097, error = 0.007350323
fitness = -20.71015, error = 0.04419576
fitness = -18.33319, error = 0.01374714
fitness = -21.95477, error = 0.006935447
