fitness=6.030407;error=0.04859598
fitness=9.722033;error=0.04940902
fitness=4.254817;error=0.04416253
fitness=8.63887;error=0.09997564
fitness=8.703055;error=0.03077336
fitness=7.747225;error=0.03035706
fitness=5.149063;error=0.09552165
fitness=5.106406;error=0.01829031
fitness=12.26619;error=0.0304323
fitness=5.143672;error=0.01841274
fitness=6.970999;error=0.02988595
fitness=10.52103;error=0.07771717
fitness=7.958665;error=0.0207022
fitness=8.635989;error=0.08517628
fitness=3.512193;error=0.0242706
fitness=6.202789;error=0.07484753
fitness=7.236069;error=0.01447675
fitness=4.230226;error=0.01666166
fitness=5.145868;error=0.01694969
fitness=6.121202;error=0.008494262
fitness=6.168865;error=0.01700048
fitness=3.370588;error=0.02094607
fitness=5.974055;error=0.01370812
fitness=6.967435;error=0.0175522
fitness=5.257077;error=0.01080471
