fitness=4.798324;error=0.06073703
fitness=2.826887;error=0.04059524
fitness=1.804683;error=0.03965593
fitness=3.797934;error=0.04448382
fitness=3.782965;error=0.0388473
fitness=2.79706;error=0.03861773
fitness=2.825095;error=0.03868368
fitness=4.80149;error=0.03747266
fitness=3.817173;error=0.03408219
fitness=3.789258;error=0.02112307
fitness=3.584104;error=0.02762965
fitness=4.794142;error=0.03235961
fitness=5.795362;error=0.02857099
fitness=5.782845;error=0.02196962
fitness=4.815564;error=0.02143084
fitness=2.014361;error=0.01923152
fitness=2.91699;error=0.01913594
fitness=2.79132;error=0.02575229
fitness=4.793977;error=0.02506163
fitness=3.811258;error=0.0157374
fitness=4.80049;error=0.02024284
fitness=6.783165;error=0.02586352
fitness=4.786423;error=0.02501335
fitness=2.817578;error=0.01679333
fitness=6.787627;error=0.01820017
fitness=3.801179;error=0.01909272
fitness=6.380373;error=0.01598516
fitness=4.327408;error=0.01766036
fitness=4.203435;error=0.01683919
fitness=3.797703;error=0.02050127
fitness=6.78432;error=0.01402649
fitness=3.788459;error=0.01480471
fitness=4.696413;error=0.01443142
fitness=2.783897;error=0.01513176
fitness=6.29177;error=0.01542509
fitness=4.815298;error=0.01994701
fitness=5.800697;error=0.01397108
fitness=4.800399;error=0.01696238
fitness=5.805885;error=0.0117057
fitness=3.504351;error=0.02223462
fitness=5.797802;error=0.01387447
fitness=5.798156;error=0.0156954
fitness=3.810712;error=0.01366666
fitness=2.813667;error=0.01553234
fitness=6.790312;error=0.008251314
fitness=6.795195;error=0.04435707
fitness=6.802382;error=0.04901104
fitness=5.808177;error=0.01396342
fitness=3.000167;error=0.01100854
fitness=3.800962;error=0.01226724
fitness=2.805191;error=0.01001608
fitness=3.812757;error=0.04692275
fitness=4.500715;error=0.01324973
fitness=4.098072;error=0.01250874
fitness=3.785009;error=0.01180572
fitness=2.803997;error=0.008762286
fitness=4.110491;error=0.0101289
fitness=5.827737;error=0.01351832
fitness=5.907817;error=0.009611632
fitness=4.820068;error=0.009190029
fitness=2.896395;error=0.008142812
fitness=3.780032;error=0.008246421
fitness=2.8197;error=0.01044977
fitness=3.815052;error=0.009296947
fitness=2.828362;error=0.008355416
fitness=3.794024;error=0.008426626
fitness=5.911263;error=0.008768008
fitness=3.798159;error=0.005246752
fitness=2.81652;error=0.006667244
fitness=4.81794;error=0.007427009
fitness=3.826432;error=0.007625658
fitness=5.11773;error=0.005846353
fitness=3.212349;error=0.006636825
fitness=5.820512;error=0.008237846
fitness=3.7964;error=0.007945747
fitness=4.801119;error=0.00617194
fitness=4.800304;error=0.006112741
fitness=4.806699;error=0.005382459
fitness=4.799349;error=0.005620637
fitness=3.211948;error=0.005694339
fitness=4.90333;error=0.005670046
fitness=3.801341;error=0.004065638
fitness=5.1105;error=0.003346767
fitness=3.802584;error=0.004771774
fitness=5.813437;error=0.003224308
fitness=4.002324;error=0.006712329
fitness=5.990026;error=0.005277928
fitness=3.819639;error=0.003241231
fitness=7.854921;error=0.006786709
fitness=8.218063;error=0.006914148
fitness=4.805562;error=0.007385164
fitness=4.80939;error=0.003929887
fitness=3.829469;error=0.003768056
fitness=3.126779;error=0.003628575
fitness=4.011977;error=0.00397873
fitness=4.834999;error=0.03873292
fitness=4.71039;error=0.004061698
fitness=3.022779;error=0.004328776
fitness=3.805894;error=0.005513029
fitness=3.80419;error=0.005545599
