fitness=5.890047;error=0.0100812
fitness=5.037822;error=0.008714855
fitness=3.36639;error=0.007389891
fitness=4.187993;error=0.008421459
fitness=5.159048;error=0.008694377
fitness=7.863634;error=0.006614414
fitness=5.086216;error=0.03914364
fitness=3.263588;error=0.005589485
fitness=4.2094;error=0.007173449
fitness=5.960635;error=0.005859598
fitness=4.159805;error=0.009236174
fitness=6.079434;error=0.0082589
fitness=5.182857;error=0.008088754
fitness=6.938846;error=0.00585589
fitness=6.028065;error=0.006534722
fitness=4.302409;error=0.00589561
fitness=6.884646;error=0.03931477
fitness=6.080198;error=0.007305615
fitness=5.165048;error=0.004644972
fitness=6.000423;error=0.005697319
fitness=4.411801;error=0.005295676
fitness=8.749041;error=0.008097534
fitness=7.927045;error=0.005840686
fitness=6.050406;error=0.006856804
fitness=6.10826;error=0.006073772
fitness=6.051622;error=0.004274812
fitness=6.068846;error=0.007313359
fitness=5.109248;error=0.008079675
fitness=6.097641;error=0.005637538
fitness=5.118224;error=0.004736819
fitness=4.282795;error=0.00676197
fitness=4.291999;error=0.005524484
fitness=6.890258;error=0.006549297
fitness=9.628033;error=0.006025064
fitness=6.862454;error=0.007329466
fitness=6.001432;error=0.005462835
fitness=5.098219;error=0.006418287
fitness=6.128842;error=0.03699214
fitness=5.144428;error=0.004552435
fitness=5.164846;error=0.00613841
fitness=6.206041;error=0.004459526
fitness=4.250003;error=0.004555345
fitness=6.900225;error=0.0356775
fitness=6.060848;error=0.006175364
