[0.91000676];[0.08124032];[-0.48474481]
[2.4400094];[-0.23701763];[-0.87402126]
[2.7100098];[0.07604163];[-0.43048919]
[-0.5299957];[-1.07270816];[0.17024688]
[-1.5199974];[-4.39961204];[-8.25957382]
[-1.6999977];[-5.20727498];[4.04999691]
[1.4500077];[-0.06827133];[2.84043782]
[0.37000585];[0.42669196];[-0.1705956]
[-0.25999522];[-0.35656977];[0.48669556]
[-2.3299987];[-7.27153954];[1.02311329]
[1.0900071];[-0.12440332];[0.28171455]
[0.55000615];[0.87217125];[-0.31398279]
[2.260009];[0.38456249];[-1.18539459]
[0.01000524];[0.05320757];[0.0252427]
[2.170009];[-0.02198035];[-1.04468407]
[-1.339997];[-3.87882417];[-1.22421403]
[-0.97999644];[-2.15183411];[0.17481498]
[-1.9699981];[-6.68792388];[1.42148434]
[-0.16999507];[-0.26888626];[0.46939611]
[1.630008];[0.13287096];[-8.12873091]
[-0.61999583];[-1.53952131];[0.45658953]
[-0.709996];[-1.05936609];[0.32546174]
[1.7200081];[0.14340259];[-3.4714132]
[1.5400078];[0.39098742];[13.76770247]
[0.2800057];[0.43075022];[-0.11817355]
[0.6400063];[0.10647842];[0.00705296]
[0.19000554];[0.34191752];[-0.20811981]
[-2.419999];[-7.53250502];[0.99143551]
[0.8200066];[0.04739785];[-0.06681439]
[-2.8699996];[-4.86050814];[0.34077865]
[-2.1499984];[-6.99696006];[1.33768679]
[-2.6899993];[-6.42654627];[0.36756002]
[1.9000084];[0.02152027];[-1.65962155]
[0.73000646];[0.26804955];[-0.24837064]
[-2.5999992];[-6.79747575];[0.71680262]
[1.1800072];[0.27323436];[0.37901895]
[1.9900086];[0.25788578];[-1.85125037]
[-1.7899978];[-5.77468036];[2.51801848]
[2.6200097];[-0.31327654];[-0.32519464]
[1.0000069];[0.50202692];[0.15041407]
[-1.879998];[-5.98246908];[1.83584125]
[-0.43999553];[-0.34078822];[0.43482857]
[2.0800087];[-0.1113639];[-1.62999844]
[0.10000539];[-0.09369508];[-0.90695149]
[1.8100083];[0.24791494];[-2.40468635]
[-0.34999537];[-0.67613682];[0.12869611]
[-0.79999614];[-1.41989088];[-0.0914439]
[1.2700074];[0.42203753];[0.84055731]
[-2.509999];[-7.08412296];[0.41592196]
[-2.7799995];[-5.24284471];[0.47695583]
[1.3600075];[-0.24547477];[1.05294594]
[-1.6099975];[-4.94943693];[12.17305961]
[-1.4299972];[-3.94759765];[-2.34087159]
[-1.1599967];[-2.85469362];[-0.30221303]
[-2.2399986];[-7.64876306];[1.01750643]
[-1.2499969];[-3.08514855];[-0.49884568]
[2.80001];[-0.34672004];[-0.42927826]
[-2.0599983];[-6.78002519];[1.53801664]
[0.460006];[0.17224306];[-0.54042486]
[2.3500092];[0.10906221];[-1.01303156]
[-0.8899963];[-1.62013548];[0.03738494]
[-1.0699966];[-2.59401593];[-0.00089654]
[2.5300095];[0.27486777];[-0.51196846]
[-0.07999492];[-0.05136983];[0.33595396]
